x1,x2,x3,x4,x5,f3
0.006,0.0548888889,0.6444444444,1318.0476190476,0.2679493127,0.0817913877
0.006,0.0684444444,0.6444444444,1162.8655462185,0.2679493127,0.0859858179
0.0037912088,0.0837362637,1.3406593407,845.4730290456,1.0000006732,0.0879347442
0.0037912088,0.1012087912,0.6703296703,845.4730290456,1.0000006732,0.0636252831
0.0037912088,0.1012087912,1.3406593407,845.4730290456,1.0000006732,0.1022497026
0.0037912088,0.1012087912,2.010989011,845.4730290456,1.0000006732,0.1035233003
0.0037912088,0.1116483516,1.5054945055,845.4730290456,1.0000006732,0.1061388482
0.0037912088,0.1256043956,0.7802197802,845.4730290456,1.0000006732,0.0938233281
0.0037912088,0.1256043956,1.3406593407,845.4730290456,1.0000006732,0.0940697264
0.0051648352,0.1012087912,1,1064.5601659751,1.0000006732,0.1231273725
0.0073626374,0.1012087912,0.6703296703,1033.8547717842,1.0000006732,0.1850917326
0.0179133858,0.1666666667,1.9881889764,2404.9322033898,1.0000006732,0.5744849896
0.0179133858,0.125,2.1587926509,2404.9322033898,1.0000006732,0.5591938157
0.0318897638,0.1666666667,1.3779527559,2420.186440678,1.0000006732,1.1731114509
0.0318897638,0.25,1.2204724409,2420.186440678,1.0000006732,1.2360256838
0.0095394737,0.125,3.0065789474,1442.9834024896,0.2679493127,0.177088245
0.0072368421,0.125,2.6052631579,2455.4315352697,0.2679493127,0.2081864046
0.0192763158,0.125,2.6052631579,978.2531120332,0.2679493127,0.527644853
0.0141447368,0.125,3.0065789474,978.2531120332,0.2679493127,0.1937946832
0.0141447368,0.125,3.0065789474,870.3692946058,0.2679493127,0.1536992315
0.0192763158,0.125,3.0065789474,870.3692946058,1.0000006732,0.2238662719
0.0192763158,0.125,3.0065789474,870.3692946058,0.2679493127,0.2071598337
0.0192763158,0.125,2.0065789474,870.3692946058,0.2679493127,0.241309298
0.0192763158,0.125,2.0065789474,870.3692946058,0.2679493127,0.241309298
0.0192763158,0.1671052632,3.0065789474,870.3692946058,0.2679493127,0.2004772585
0.0100342466,0.1301369863,3.0993150685,870.3692946058,0.2679493127,0.1424619633
0.0105921053,0.125,3.0065789474,870.3692946058,0.2679493127,0.1269689304
0.0230263158,0.125,3.0065789474,1028.0456431535,0.2679493127,0.2706442989
0.0230263158,0.125,2.0065789474,1028.0456431535,0.2679493127,0.3108390958
0.0230263158,0.1671052632,3.0065789474,1028.0456431535,0.2679493127,0.2806681618
0.0119863014,0.1301369863,3.0993150685,1028.0456431535,0.2679493127,0.1638312578
0.03125,0.078125,1.015625,994.8506224066,1.0000006732,0.3809638277
0.03125,0.078125,1.640625,994.8506224066,1.0000006732,0.4043014588
0.03125,0.078125,2.265625,994.8506224066,1.0000006732,0.4626819592
0.01875,0.078125,1.5625,994.8506224066,1.0000006732,0.3064285714
0.021875,0.078125,1.5625,994.8506224066,1.0000006732,0.33
0.025,0.078125,1.5625,994.8506224066,1.0000006732,0.3592857143
0.028125,0.078125,1.5625,994.8506224066,1.0000006732,0.3985714286
0.025,0.078125,1.5625,994.8506224066,1.0000006732,0.3407142857
0.0164948454,0.0515463918,1.0309278351,994.8506224066,1.0000006732,0.2135714286
0.0202531646,0.1012658228,1.2658227848,994.8506224066,1.0000006732,0.3328571429
0.025,0.171875,1.5625,994.8506224066,1.0000006732,0.47
0.0164948454,0.1134020619,1.0309278351,994.8506224066,1.0000006732,0.2642857143
0.0233333333,0.0666666667,2,1135.9294605809,1.0000006732,0.3051708566
0.0116666667,0.1666666667,2,1135.9294605809,0.2679493127,0.1982920268
0.0058333333,0.1666666667,2,1135.9294605809,1.0000006732,0.1299038106
0.0038888889,0.1666666667,2,1135.9294605809,1.0000006732,0.1279526556
0.0083333333,0.1666666667,1,1135.9294605809,0.2679493127,0.1649572198
0.0433333333,0.1666666667,1,945.0580912863,1.0000006732,0.7056863307
0.0108333333,0.1666666667,1,945.0580912863,0.2679493127,0.2624453296
0.0142857143,0.1428571429,1.0714285714,2223.0663900415,0.1989124549,0.5021453973
0.0142857143,0.1428571429,1.7857142857,2223.0663900415,0.1989124549,0.5434600036
0.0214285714,0.1428571429,0.7142857143,2223.0663900415,0.1989124549,0.6057142857
0.0214285714,0.1428571429,1.4285714286,2223.0663900415,0.1989124549,0.6419519421
0.0214285714,0.1428571429,2.1428571429,2223.0663900415,0.1989124549,0.7781856843
0.0285714286,0.1428571429,1.0714285714,2223.0663900415,0.1989124549,0.7336804991
0.0285714286,0.1428571429,1.7857142857,2223.0663900415,0.1989124549,0.790569415
0.0357142857,0.1428571429,0.7142857143,2223.0663900415,0.1989124549,0.7714285714
0.0357142857,0.1428571429,1.4285714286,2223.0663900415,0.1989124549,0.8838834765
0.0357142857,0.1428571429,2.1428571429,2223.0663900415,0.1989124549,1.0037646823
0.0142857143,0.0357142857,0.3571428571,2223.0663900415,0.1989124549,0.1959695936
0.0142857143,0.0714285714,0.3571428571,2223.0663900415,0.1989124549,0.3313300346
0.0285714286,0.0178571429,0.3571428571,2223.0663900415,0.1989124549,0.2030406615
0.0285714286,0.0535714286,0.3571428571,2223.0663900415,0.1989124549,0.3828478144
0.0285714286,0.1428571429,0.3571428571,2223.0663900415,0.1989124549,0.703066171
0.05,0.0357142857,0.3571428571,2223.0663900415,0.1989124549,0.4222437636
0.05,0.0714285714,0.3571428571,2223.0663900415,0.1989124549,0.6151828996
0.01125,0.1283333333,1.2083333333,1305.6037735849,0.2679493127,0.3183572476
0.01125,0.1283333333,1.2083333333,1318.0476190476,0.2679493127,0.2692824149
0.01125,0.1283333333,1.2083333333,1330.7307692308,0.2679493127,0.3045156281
0.01125,0.1283333333,1.2083333333,1330.7307692308,0.2679493127,0.2973850969
0.01125,0.14625,1.2083333333,1330.7307692308,0.2679493127,0.3124850454
0.01125,0.1029166667,1.2083333333,1343.6601941748,0.2679493127,0.2877379076
0.01125,0.1283333333,1.2083333333,1153.1666666667,0.2679493127,0.270540744
0.01125,0.1283333333,1.5416666667,1318.0476190476,0.2679493127,0.2833320085
0.0095833333,0.1283333333,2.2083333333,994.2380952381,0.2679493127,0.2379739359
0.0116666667,0.1283333333,1.5,899,0.2679493127,0.2691700627
0.0062222222,0.0684444444,0.6666666667,873.5283018868,0.2679493127,0.0777360898
0.006,0.0684444444,0.6888888889,1318.0476190476,0.2679493127,0.0916852675
0.006,0.0684444444,0.6444444444,1318.0476190476,0.2679493127,0.089341362
0.006,0.0684444444,0.6444444444,1318.0476190476,0.2679493127,0.091019134
0.006,0.0626666667,0.6444444444,1318.0476190476,0.2679493127,0.0872441469
0.006,0.078,0.6444444444,1318.0476190476,0.2679493127,0.0947941212
0.0037912088,0.0837362637,1,845.4730290456,1.0000006732,0.0662993544
0.0037912088,0.0837362637,1.6703296703,845.4730290456,1.0000006732,0.0989336268
0.0037912088,0.1012087912,1,845.4730290456,1.0000006732,0.0876098612
0.0037912088,0.1012087912,1.6703296703,845.4730290456,1.0000006732,0.1044299394
0.0037912088,0.1116483516,1,845.4730290456,1.0000006732,0.0994490316
0.0037912088,0.1116483516,1.6703296703,845.4730290456,1.0000006732,0.1062620436
0.0037912088,0.1256043956,1,845.4730290456,1.0000006732,0.0994490316
0.0051648352,0.1012087912,0.6703296703,1064.5601659751,1.0000006732,0.1156823329
0.0051648352,0.1116483516,1,1064.5601659751,1.0000006732,0.1420700452
0.0073626374,0.1256043956,0.5824175824,1033.8547717842,1.0000006732,0.1954675092
0.0179133858,0.1666666667,0.9973753281,2404.9322033898,1.0000006732,0.6604729289
0.0179133858,0.125328084,1.0826771654,2404.9322033898,1.0000006732,0.6450419823
0.0318897638,0.1666666667,0.688976378,2420.186440678,1.0000006732,1.2477579504
0.0318897638,0.25,0.8530183727,2420.186440678,1.0000006732,1.3093223288
0.0130921053,0.125,3.0065789474,1451.2821576764,0.2679493127,0.2439139978
0.0192763158,0.125,2.6052631579,2438.8340248963,0.2679493127,0.527644853
0.0141447368,0.125,3.0065789474,978.2531120332,1.0000006732,0.1637230944
0.0141447368,0.125,3.0065789474,978.2531120332,0.2679493127,0.1937946832
0.0192763158,0.125,5.9342105263,870.3692946058,0.2679493127,0.1997781475
0.0192763158,0.125,3.0065789474,870.3692946058,0.2679493127,0.2071598337
0.0192763158,0.125,3.0065789474,870.3692946058,0.2679493127,0.2071598337
0.0192763158,0.125,2.0065789474,870.3692946058,0.2679493127,0.241309298
0.0192763158,0.0828947368,3.0065789474,870.3692946058,0.2679493127,0.2071598337
0.0121576763,0.1178423237,3,870.3692946058,0.2679493127,0.1647003436
0.0100342466,0.0869863014,3.0993150685,870.3692946058,0.2679493127,0.1234670348
0.0230263158,0.125,4.1776315789,1028.0456431535,0.2679493127,0.2806210829
0.0230263158,0.125,3.0065789474,1028.0456431535,0.2679493127,0.2706442989
0.0230263158,0.125,1,1028.0456431535,0.2679493127,0.3418237088
0.0145228216,0.1178423237,3,1028.0456431535,0.2679493127,0.1992342866
0.0119863014,0.1301369863,1.5650684932,1028.0456431535,0.2679493127,0.2105011214
